thai,german,transliteration,pos,tags,lesson,exampleThai,exampleGerman
อาหาร,Essen,aahaan,Nomen,"Food,A1",1,อาหารไทย,Thailändisches Essen.
โรงเรียน,Schule,rong-rian,Nomen,"Education,A1",1,ไปโรงเรียน,Zur Schule gehen.
เร็ว,schnell,reo,Adjektiv,"Basics,A1",1,รถเร็ว,Das Auto ist schnell.
ช้า,langsam,chaa,Adjektiv,"Basics,A1",1,เดินช้า,Langsam gehen.
ขาย,verkaufen,khaai,Verb,"Shopping,A1",1,เขาขายอาหาร,Er verkauft Essen.
ราคา,Preis,raa-khaa,Nomen,"Shopping,A1",1,ราคาถูก,Der Preis ist günstig.
แพง,teuer,paeng,Adjektiv,"Shopping,A1",1,ของแพง,Das ist teuer.
ฉัน,ich,chan,Pronomen,"Basics,A1",1,ฉันชื่อมาเรีย,Ich heiße Maria.
ผม,ich (maennlich),pom,Pronomen,"Basics,A1",1,ผมชื่อไมเคิล,Ich heiße Michael.
คุณ,du/Sie,khun,Pronomen,"Basics,A1",1,คุณชื่ออะไร,Wie heißt du?
เขา,er/sie (3.P),khao,Pronomen,"Basics,A1",1,เขาไปโรงเรียน,Er/Sie geht zur Schule.
เรา,wir / ich (umgangssp.),rao,Pronomen,"Basics,A1",1,เราจะไปเที่ยวด้วยกัน,Wir fahren zusammen in den Urlaub.
พวกเขา,sie (Plural),phuak khao,Pronomen,"Personen,A1",1,พวกเขาอยู่ที่นี่,Sie sind hier.
ผู้ชาย,Mann,phu chai,Nomen,"Personen,A1",1,ผู้ชายตัวใหญ่,Der Mann ist groß.
ผู้หญิง,Frau,phu ying,Nomen,"Personen,A1",1,ผู้หญิงสวย,Die Frau ist schön.
เด็ก,Kind,dek,Nomen,"Personen,A1",1,เด็กกินข้าว,Das Kind isst Reis.
ครู,Lehrer/Lehrerin,khru,Nomen,"Personen,Schule,A1",1,ครูพูดภาษาไทย,Der Lehrer spricht Thai.
นักเรียน,Schüler/Schülerin,nak rian,Nomen,"Personen,Schule,A1",1,นักเรียนเรียนภาษาไทย,Der Schüler/Die Schülerin lernt Thai.
พยาบาล,Krankenpfleger/in,phayaban,Nomen,"Personen,Gesundheit,A1",1,พยาบาลช่วยคน,Der Krankenpfleger/Die Krankenpflegerin hilft Menschen.
พนักงาน,Angestellte/r,phanakngan,Nomen,"Personen,Berufe,A1",1,พนักงานทำงาน,Der Angestellte/Die Angestellte arbeitet.
เจ้านาย,Chef/in,jao nai,Nomen,"Personen,Berufe,A1",1,เจ้านายพูดช้า,Der Chef/Die Chefin spricht langsam.
ลูกค้า,Kunde/Kundin,luk kha,Nomen,"Personen,Alltag,A1",1,ลูกค้าซื้อข้าว,Die Kundin kauft Reis.
นักท่องเที่ยว,Tourist/in,nak thong thiao,Nomen,"Reisen,Personen,A1",1,นักท่องเที่ยวไปเที่ยว,Der Tourist macht Urlaub.
คนไทย,Thailänder/in,khon thai,Nomen,"Personen,Nationalitäten,A1",1,เขาเป็นคนไทย,Er/Sie ist Thailänder/in.
คนต่างชาติ,Ausländer/in,khon tang chat,Nomen,"Personen,Nationalitäten,A1",1,เขาเป็นคนต่างชาติ,Er/Sie ist Ausländer/in.
นามสกุล,Nachname,nam sakun,Nomen,"Personen,A1",1,นามสกุลของคุณคืออะไร,Wie ist dein Nachname?
อาชีพ,Beruf,achip,Nomen,"Personen,Berufe,A1",1,อาชีพของคุณคืออะไร,Was ist dein Beruf?
พวกเรา,wir,phuak-rao,Pronomen,"Basics,A1",1,พวกเราอยู่ที่นี่,Wir sind hier.
ทุกคน,alle,thuk-khon,Pronomen,"Basics,A1",1,ทุกคนมาถึงแล้ว,Alle sind angekommen.
ใคร,wer,khrai,Fragewort,"Basics,A1",1,ใครมาอยู่ที่นี่,Wer ist hierher gekommen?
อะไร,was,a-rai,Fragewort,"Basics,A1",1,นี่คืออะไร,Was ist das?
ที่ไหน,wo,thii-nai,Fragewort,"Basics,A1",1,คุณอยู่ที่ไหน,Wo bist du?
เมื่อไหร่,wann,muea-rai,Fragewort,"Basics,A1",1,คุณจะมาเมื่อไหร่,Wann kommst du?
ทำไม,warum,tham-mai,Fragewort,"Basics,A1",1,ทำไมคุณมาสาย,Warum bist du spät?
ยังไง,wie (auf welche Weise),yang-ngai,Fragewort,"Basics,A1",1,จะไปยังไง,Wie soll ich hingehen?
เท่าไหร่,wie viel / wie teuer,thao-rai,Fragewort,"Basics,A1",1,ของนี้เท่าไหร่,Wie viel kostet das?
ครับ,"(höflich, männlich)",khrap,Partikel,"Basics,A1",1,ครับ,"(höflich, männlich)"
ค่ะ,"(höflich, weiblich)",kha,Partikel,"Basics,A1",1,ค่ะ,"(höflich, weiblich)"
นะ,bitte/okay? (weich),na,Partikel,"Basics,A1",1,นะ,bitte/okay? (weich)
ไหม,Fragepartikel,mai,Partikel,"Basics,A1",1,ไหม,Fragepartikel
แล้ว,schon/bereits,laeo,Partikel,"Basics,A1",1,ฉันทำเสร็จแล้ว,Ich bin schon fertig.
ยัง,noch,yang,Partikel,"Basics,A1",1,เขายังไม่มาถึง,Er ist immer noch nicht da.
กำลัง,gerade (Progressiv),kamlang,Partikel,"Basics,A1",1,ฉันกำลังเรียนภาษาไทย,Ich lerne gerade Thailändisch.
เลย,überhaupt / sofort,loei,Partikel,"Basics,A1",1,ทำเลย,Mach es sofort!
สิ,doch / mach mal,si,Partikel,"Grundwortschatz,A1",1,ลองอีกทีสิ,Versuch es doch noch mal.
และ,und,lae,Konjunktion,"Basics,A1",1,ฉันชอบกาแฟและชา,Ich mag Kaffee und Tee.
หรือ,oder,rue,Konjunktion,"Basics,A1",1,คุณต้องการกาแฟหรือน้ำชา,Möchtest du Kaffee oder Wasser?
แต่,aber,tae,Konjunktion,"Basics,A1",1,เขาอยากไปแต่เขาไม่มีเวลา,"Er möchte gehen, aber er hat keine Zeit."
เพราะ,weil,phro,Konjunktion,"Basics,A1",1,เธอยิ้มเพราะมีความสุข,"Sie lächelt, weil sie glücklich ist."
ถ้า,wenn/falls,thaa,Konjunktion,"Basics,A1",1,ถ้าฝนตกเราจะอยู่บ้าน,"Wenn es regnet, bleiben wir zu Hause."
กับ,mit,kap,Präposition,"Basics,A1",1,ฉันไปตลาดกับเพื่อน,Ich gehe mit einem Freund auf den Markt.
ใน,in,nai,Präposition,"Grundwortschatz,A1",1,ฉันอยู่ในบ้าน,Ich bin im Haus.
นอก,außerhalb,nok,Präposition,"Orte,Richtung,A1",1,เขารออยู่นอกบ้าน,Er wartet außerhalb des Hauses.
บน,auf,bon,Präposition,"Orte,Richtung,A1",1,หนังสืออยู่บนโต๊ะ,Das Buch liegt auf dem Tisch.
หน้า,vor / Vorderseite,na,Präposition,"Orte,Richtung,A1",1,ฉันยืนหน้าบ้าน,Ich stehe vor dem Haus.
ข้าง,Seite / neben,khang,Präposition,"Orte,Richtung,A1",1,ร้านอยู่ข้างโรงเรียน,Der Laden ist neben der Schule.
ซ้าย,links,sai,Adverb,"Orte,Richtung,A1",1,ไปทางซ้าย,Geh nach links.
ขวา,rechts,khwa,Adverb,"Orte,Richtung,A1",1,เลี้ยวขวา,Biege rechts ab.
ที่,Ort / Relativmarker,thi,Präposition,"Grundwortschatz,A1",1,เขาอยู่ที่โรงเรียน,Er ist in der Schule.
โดย,durch/mit (Mittel),doi,Präposition,"Basics,A1",1,เราเดินทางโดยรถไฟ,Wir reisen mit dem Zug.
ก่อน,vorher,gon,Adverb,"Basics,A1",1,โปรดเช็คเอกสารก่อนส่ง,"Bitte prüfe die Unterlagen, bevor du sie abschickst."
หลัง,nachher,lang,Adverb,"Basics,A1",1,หลังประชุมเราจะไปซื้อของ,Nachher gehen wir einkaufen.
เป็น,sein,pen,Verb,"Basics,A1",1,ฉันเป็นครู,Ich bin Lehrerin/Lehrer.
พูด,sprechen,phuut,Verb,"Basics,A1",1,เขาพูดภาษาไทยและเยอรมัน,Er spricht Thai und Deutsch.
สอน,unterrichten,son,Verb,"Verben,Schule,A1",1,ครูสอนภาษาไทย,Der Lehrer unterrichtet Thai.
บอก,sagen,bok,Verb,"Basics,A1",1,แม่บอกให้ฉันกลับบ้านเร็ว,"Mama sagt mir, ich soll früh nach Hause kommen."
ถาม,fragen,thaam,Verb,"Basics,A1",1,ฉันจะถามคุณพรุ่งนี้,Ich frage dich morgen.
ตอบ,antworten,top,Verb,"Basics,A1",1,เขาตอบอีเมลทันที,Er antwortet sofort auf die E-Mail.
อ่าน,lesen,aan,Verb,"Education,A1",1,ฉันอ่านหนังสือ,Ich lese ein Buch.
เขียน,schreiben,khian,Verb,"Education,A1",1,ฉันเขียนอีเมล,Ich schreibe eine E-Mail.
รู้,wissen/kennen,ruu,Verb,"Basics,A1",1,ฉันรู้อยู่แล้ว,Ich weiß es schon.
เข้าใจ,verstehen,khao-jai,Verb,"Basics,A1",1,ฉันเข้าใจมัน,Ich verstehe es.
ชอบ,mögen,chop,Verb,"Verben,Gefühle,A1",1,ฉันชอบกาแฟ,Ich mag Kaffee.
รัก,lieben,rak,Verb,"Verben,Gefühle,A1",1,ฉันรักครอบครัว,Ich liebe meine Familie.
รู้จัก,kennen,ru jak,Verb,"Verben,Denken,A1",1,ฉันรู้จักคุณ,Ich kenne dich.
คิด,denken,khit,Verb,"Basics,A1",1,ฉันคิดถึงบ้าน,Ich denke an Zuhause.
ช่วย,helfen,chuay,Verb,"Basics,A1",1,ช่วยฉันหน่อยได้ไหม,Kannst du mir bitte helfen?
รอ,warten,raw,Verb,"Basics,A1",1,ฉันรอคุณอยู่ที่หน้าประตู,Ich warte auf dich vor der Tür.
เริ่ม,beginnen,roem,Verb,"Basics,A1",1,ฉันเริ่มงานใหม่วันนี้,Ich habe heute mit dem neuen Job angefangen.
จบ,enden,chop,Verb,"Basics,A1",1,ฉันจบงานแล้ว,Ich bin mit der Arbeit fertig.
เปิด,öffnen/anmachen,poet,Verb,"Basics,A1",1,กรุณาเปิดไฟ,Bitte mach das Licht an.
ปิด,schließen/ausmachen,pit,Verb,"Basics,A1",1,กรุณาปิดหน้าต่าง,Bitte mach das Fenster zu.
เข้า,hineingehen,khao,Verb,"Basics,A1",1,ฉันเข้าไปในบ้าน,Ich gehe ins Haus.
ออก,hinausgehen,ok,Verb,"Basics,A1",1,ฉันออกไปข้างนอก,Ich gehe raus.
กลับ,zurückkehren,klap,Verb,"Basics,A1",1,ฉันกลับบ้านตอนเย็น,Ich komme abends nach Hause.
ถึง,ankommen,thueng,Verb,"Verben,Alltag,Reisen,A1",1,ฉันถึงบ้านแล้ว,Ich bin schon zu Hause angekommen.
นอน,schlafen,non,Verb,"Basics,A1",1,ฉันไปนอนแล้ว,Ich gehe jetzt schlafen.
ตื่น,aufwachen,tuen,Verb,"Basics,A1",1,ฉันตื่นเช้า,Ich wache früh auf.
นั่ง,sitzen,nang,Verb,"Basics,A1",1,โปรดนั่งตรงนี้,Bitte setz dich hier.
ยืน,stehen,yuen,Verb,"Basics,A1",1,เขายืนหน้าประตู,Er steht vor der Tür.
วิ่ง,laufen,wing,Verb,"Basics,A1",1,ฉันวิ่งทุกเช้า,Ich laufe jeden Morgen.
จ่าย,bezahlen (allgemein),jaai,Verb,"Shopping,A1",1,ฉันจ่ายเงินที่แคชเชียร์,Ich bezahle an der Kasse.
ใช้,benutzen,chai,Verb,"Basics,A1",1,ฉันใช้โทรศัพท์ทุกวัน,Ich benutze mein Handy jeden Tag.
ให้,geben,hai,Verb,"Basics,A1",1,ฉันให้คุณของขวัญ,Ich gebe dir ein Geschenk.
เอา,nehmen,ao,Verb,"Basics,A1",1,ฉันเอาน้ำหนึ่งแก้ว,Ich nehme ein Glas Wasser.
รับ,empfangen/annehmen,rap,Verb,"Basics,A1",1,ฉันรับพัสดุ,Ich nehme das Paket an.
ส่ง,senden/bringen,song,Verb,"Basics,A1",1,ฉันส่งอีเมล,Ich schicke eine E-Mail.
โทร,anrufen,tho,Verb,"Phone,A1",1,ฉันโทรหาแม่,Ich rufe meine Mutter an.
ถ่ายรูป,fotografieren,thaai-ruup,Verb,"Leisure,A1",1,ฉันถ่ายรูปที่สวน,Ich mache ein Foto im Park.
อาบน้ำ,duschen / baden,ap nam,Verb,"Körper,Alltag,A1",1,ฉันอาบน้ำตอนเช้า,Ich dusche morgens.
แต่งตัว,sich anziehen,taeng tua,Verb,"Kleidung,Alltag,A1",1,ฉันแต่งตัวไปทำงาน,Ich ziehe mich für die Arbeit an.
ไม่ดี,schlecht,mai di,Adjektiv,"Adjektive,A1",1,วันนี้อากาศไม่ดี,Heute ist das Wetter schlecht.
สวย,schön,suai,Adjektiv,"Adjektive,A1",1,ดอกไม้นี้สวย,Diese Blume ist schön.
หล่อ,hübsch (männlich),lo,Adjektiv,"Adjektive,A1",1,เขาหล่อ,Er ist hübsch.
น่ารัก,süß / lieb,na rak,Adjektiv,"Adjektive,A1",1,เด็กคนนี้น่ารัก,Dieses Kind ist süß.
ใหม่,neu,mai,Adjektiv,"Adjektive,A1",1,นี่คือรถใหม่,Ich habe heute ein neues Auto gesehen.
เก่า,alt,gao,Adjektiv,"Adjektive,A1",1,บ้านนี้เก่า,Dieses Haus ist alt.
ถูก,billig / richtig,thuk,Adjektiv,"Einkaufen,Adjektive,A1",1,เสื้อตัวนี้ถูก,Dieses T-Shirt ist billig.
ง่าย,einfach,ngai,Adjektiv,"Adjektive,A1",1,แบบฝึกนี้ง่าย,Diese Übung ist einfach.
ยาก,schwierig,yak,Adjektiv,"Adjektive,A1",1,ภาษาไทยยาก,Thai ist schwierig.
ว่าง,frei,wang,Adjektiv,"Zeit,Alltag,A1",1,วันนี้ฉันว่าง,Heute habe ich frei.
ยุ่ง,beschäftigt,yung,Adjektiv,"Zeit,Alltag,A1",1,ตอนนี้ฉันยุ่ง,Jetzt bin ich beschäftigt.
สะอาด,sauber,sa-at,Adjektiv,"Haus,Alltag,A1",1,ห้องนี้สะอาด,Dieses Zimmer ist sauber.
สกปรก,schmutzig,sokkaprok,Adjektiv,"Haus,Alltag,A1",1,รองเท้านี้สกปรก,Diese Schuhe sind schmutzig.
ร้อน,heiß,ron,Adjektiv,"Wetter,Adjektive,A1",1,วันนี้อากาศร้อน,Heute ist das Wetter heiß.
เย็น,kalt / kühl,yen,Adjektiv,"Wetter,Adjektive,A1",1,น้ำเย็นมาก,Das Wasser ist sehr kühl.
หิว,hungrig,hiu,Adjektiv,"Essen,Gefühle,A1",1,ฉันหิวแล้ว,Ich habe Hunger.
อิ่ม,satt,im,Adjektiv,"Essen,Gefühle,A1",1,ฉันอิ่มแล้ว,Ich bin satt.
แข็งแรง,gesund / stark,khaeng raeng,Adjektiv,"Gesundheit,A1",1,ฉันแข็งแรง,Ich bin gesund.
มีความสุข,glücklich,mi khwam suk,Adjektiv,"Gefühle,A1",1,ฉันมีความสุข,Ich bin glücklich.
สนุก,spaßig,sanuk,Adjektiv,"Freizeit,A1",1,เกมนี้สนุก,Dieses Spiel macht Spaß.
กระหาย,durstig,grahai,Adjektiv,"Essen,Gefühle,A1",1,ฉันกระหายน้ำ,Ich bin durstig.
เหนื่อย,müde,nueai,Adjektiv,"Gefühle,Gesundheit,A1",1,ฉันเหนื่อยมาก,Ich bin sehr müde.
ง่วง,schläfrig,nguang,Adjektiv,"Gefühle,Gesundheit,A1",1,ฉันง่วงแล้ว,Ich bin schläfrig.
ป่วย,krank,puai,Adjektiv,"Gesundheit,A1",1,ฉันป่วยวันนี้,Ich bin heute krank.
เผ็ด,scharf,phet,Adjektiv,"Essen,A1",1,แกงนี้เผ็ด,Dieses Curry ist scharf.
หวาน,süß,wan,Adjektiv,"Essen,A1",1,ชานี้หวาน,Dieser Tee ist süß.
เค็ม,salzig,khem,Adjektiv,"Essen,A1",1,ซุปนี้เค็ม,Diese Suppe ist salzig.
เปรี้ยว,sauer,priao,Adjektiv,"Essen,A1",1,มะนาวนี้เปรี้ยว,Diese Limette ist sauer.
ขม,bitter,khom,Adjektiv,"Essen,A1",1,กาแฟนี้ขม,Dieser Kaffee ist bitter.
อร่อย,lecker,aroi,Adjektiv,"Essen,A1",1,อาหารนี้อร่อย,Dieses Essen ist lecker.
หมอ,Arzt/Ärztin,mo,Nomen,"Personen,Gesundheit,A1",1,หมอช่วยคน,Der Arzt/Die Ärztin hilft Menschen.
ครอบครัว,Familie,khrop khrua,Nomen,"Familie,A1",1,ฉันมีครอบครัวใหญ่,Ich habe eine grosse Familie.
พ่อ,Vater,pho,Nomen,"Familie,A1",1,พ่อของฉันชื่อสมชาย,Mein Vater heißt Somchai.
แม่,Mutter,mae,Nomen,"Familie,A1",1,แม่ของฉันใจดี,Meine Mutter ist nett.
พ่อแม่,Eltern,pho mae,Nomen,"Familie,A1",1,พ่อแม่ของฉันอยู่ที่นี่,Meine Eltern sind hier.
พี่,ältere Bezugsperson / ältere*r (Anrede),phi,Anrede,"Familie,A1",1,พี่ครับ ร้านกาแฟอยู่ที่ไหน,"Entschuldigung, wo ist das Café?"
น้อง,jüngere Bezugsperson / jüngere*r (Anrede),nong,Anrede,"Familie,A1",1,น้องครับ ช่วยหน่อย,"Hey, kannst du bitte helfen?"
พี่ชาย,älterer Bruder,phi chai,Nomen,"Familie,A1",1,พี่ชายของฉันทำงาน,Mein älterer Bruder arbeitet.
พี่สาว,ältere Schwester,phi sao,Nomen,"Familie,A1",1,พี่สาวของฉันสวย,Meine ältere Schwester ist schön.
น้องชาย,jüngerer Bruder,nong chai,Nomen,"Familie,A1",1,น้องชายของฉันกินข้าว,Mein jüngerer Bruder isst Reis.
น้องสาว,jüngere Schwester,nong sao,Nomen,"Familie,A1",1,น้องสาวของฉันอยู่บ้าน,Meine jüngere Schwester ist zu Hause.
ลูก,Kind (eigenes),luk,Nomen,"Familie,A1",1,ลูกของฉันชื่อมีนา,Mein Kind heißt Mina.
ลูกชาย,Sohn,luk chai,Nomen,"Familie,A1",1,ลูกชายของฉันชื่อทอม,Mein Sohn heißt Tom.
ลูกสาว,Tochter,luk sao,Nomen,"Familie,A1",1,ลูกสาวของฉันชื่อมีนา,Meine Tochter heißt Mina.
สามี,Ehemann,sami,Nomen,"Familie,A1",1,สามีของฉันทำงาน,Mein Ehemann arbeitet.
ภรรยา,Ehefrau,phanraya,Nomen,"Familie,A1",1,ภรรยาของฉันสวย,Meine Ehefrau ist schön.
ยาย,Großmutter (mütterlich),yai,Nomen,"Familie,A1",1,ยายของฉันอยู่บ้าน,Meine Großmutter ist zu Hause.
ปู่,Großvater (väterlicherseits),puu,Nomen,"Familie,A1",1,ปู่ของฉันอยู่บ้าน,Mein Großvater ist zu Hause.
ญาติ,Verwandte,yat,Nomen,"Familie,A1",1,ญาติของฉันมาแล้ว,Meine Verwandten sind schon da.
ชื่อ,Name,chue,Nomen,"Personen,A1",1,ชื่อของฉันคือมาเรีย,Mein Name ist Maria.
อายุ,Alter,ayu,Nomen,"Personen,A1",1,ฉันอายุยี่สิบปี,Ich bin zwanzig Jahre alt.
เพื่อน,Freund/Freundin,phuean,Nomen,"Personen,A1",1,เพื่อนมาแล้ว,Der Freund/Die Freundin ist schon da.
ตำรวจ,Polizist/in,tamruat,Nomen,"Personen,Berufe,A1",1,ตำรวจมาเร็ว,Der Polizist/Die Polizistin kommt schnell.
สูง,hoch / groß,sung,Adjektiv,"Adjektive,A1",1,ตึกนี้สูง,Dieses Gebäude ist hoch.
ต่ำ,niedrig,tam,Adjektiv,"Adjektive,A1",1,โต๊ะนี้ต่ำ,Dieser Tisch ist niedrig.
หนัก,schwer,nak,Adjektiv,"Adjektive,A1",1,กระเป๋านี้หนัก,Diese Tasche ist schwer.
เบา,leicht,bao,Adjektiv,"Adjektive,A1",1,กล่องนี้เบา,Diese Box ist leicht.
ใกล้,nah,glai,Adjektiv,"Orte,Richtung,A1",1,บ้านฉันอยู่ใกล้,Mein Haus ist nah.
ไกล,weit,glai,Adjektiv,"Orte,Richtung,A1",1,โรงเรียนอยู่ไกล,Die Schule ist weit.
เต็ม,voll,tem,Adjektiv,"Alltag,A1",1,แก้วนี้เต็ม,Dieses Glas ist voll.
ว่างเปล่า,leer,wang plao,Adjektiv,"Alltag,A1",1,กล่องนี้ว่างเปล่า,Diese Box ist leer.
โกรธ,wütend,grot,Adjektiv,"Gefühle,A1",1,เขาโกรธ,Er ist wütend.
กลัว,ängstlich,klua,Adjektiv,"Gefühle,A1",1,ฉันกลัว,Ich habe Angst.
สวัสดี,Hallo,sawasdee,Interjektion,"Höflichkeit,A1",2,สวัสดีครับ,Hallo.
ขอบคุณ,Danke,khop khun,Interjektion,"Höflichkeit,A1",2,ขอบคุณครับ,Danke.
ขอบคุณมาก,vielen Dank,khop khun mak,Interjektion,"Höflichkeit,A1",2,ขอบคุณมากครับ,Vielen Dank.
ขอโทษ,Entschuldigung,kho thot,Interjektion,"Höflichkeit,A1",2,ขอโทษครับ,Entschuldigung.
ลาก่อน,Auf Wiedersehen,la gon,Interjektion,"Höflichkeit,A1",2,ลาก่อนครับ,Auf Wiedersehen.
กรุณา,bitte,karuna,Interjektion,"Höflichkeit,A1",2,กรุณารอสักครู่,Bitte warten Sie kurz.
มาก,sehr/viel,maak,Adverb,"Basics,A1",2,ฉันชอบมาก,Ich mag es sehr.
น้อย,wenig,noi,Adverb,"Basics,A1",2,มีคนน้อยมาก,Es gibt sehr wenige Leute.
ตอนนี้,jetzt,ton ni,Adverb,"Zeit,A1",2,ตอนนี้ฉันเรียนภาษาไทย,Jetzt lerne ich Thai.
เมื่อวาน,gestern,muea wan,Nomen,"Zeit,A1",2,เมื่อวานฉันอยู่บ้าน,Gestern war ich zu Hause.
เมื่อวานซืน,vorgestern,muea wan suen,Nomen,"Zeit,A1",2,เมื่อวานซืนฉันไปตลาด,Vorgestern bin ich zum Markt gegangen.
ศูนย์,Null,suun,Zahl,"Basics,A1",2,ศูนย์,Null
หนึ่ง,eins,nueng,Zahl,"Basics,A1",2,หนึ่ง,eins
สอง,zwei,song,Zahl,"Basics,A1",2,สอง,zwei
สาม,drei,saam,Zahl,"Basics,A1",2,สาม,drei
สี่,vier,sii,Zahl,"Basics,A1",2,สี่,vier
ห้า,fünf,haa,Zahl,"Basics,A1",2,ห้า,fünf
หก,sechs,hok,Zahl,"Basics,A1",2,หก,sechs
เจ็ด,sieben,jet,Zahl,"Basics,A1",2,เจ็ด,sieben
แปด,acht,paet,Zahl,"Basics,A1",2,แปด,acht
เก้า,neun,gao,Zahl,"Basics,A1",2,เก้า,neun
สิบ,zehn,sip,Zahl,"Basics,A1",2,สิบ,zehn
ขนมปัง,Brot,khanom pang,Nomen,"essen,A1",2,ฉันกินขนมปังตอนเช้า,Ich esse morgens Brot.
เดือน,Monat,duean,Nomen,"Zeit,A1",2,เดือนนี้ฝนตกมาก,Diesen Monat regnet es viel.
ปี,Jahr,pi,Nomen,"Zeit,A1",2,ปีนี้ฉันไปเยอรมนี,Dieses Jahr fahre ich nach Deutschland.
วันจันทร์,Montag,wan jan,Nomen,"Zeit,A1",2,วันจันทร์ฉันทำงาน,Am Montag arbeite ich.
วันอังคาร,Dienstag,wan angkhan,Nomen,"Zeit,A1",2,วันอังคารฉันเรียนภาษาไทย,Am Dienstag lerne ich Thai.
วันพุธ,Mittwoch,wan phut,Nomen,"Zeit,A1",2,วันพุธฉันไปตลาด,Am Mittwoch gehe ich zum Markt.
วันพฤหัสบดี,Donnerstag,wan pharuehatsabodi,Nomen,"Zeit,A1",2,วันพฤหัสบดีฉันว่าง,Am Donnerstag habe ich frei.
วันศุกร์,Freitag,wan suk,Nomen,"Zeit,A1",2,วันศุกร์ฉันเจอเพื่อน,Am Freitag treffe ich Freunde.
วันเสาร์,Samstag,wan sao,Nomen,"Zeit,A1",2,วันเสาร์ฉันพักผ่อน,Am Samstag ruhe ich mich aus.
วันอาทิตย์,Sonntag,wan athit,Nomen,"Zeit,A1",2,วันอาทิตย์ฉันอยู่บ้าน,Am Sonntag bin ich zu Hause.
เช้า,Morgen,chao,Nomen,"Zeit,A1",2,พรุ่งนี้เช้าฉันตื่นเร็ว,Morgen früh wache ich früh auf.
