"thai","german","transliteration","pos","tags","lesson","exampleThai","exampleGerman"
"แพง","teuer","paeng","Adjektiv","Shopping,A2","1","ของแพง","Die Sache ist teuer."
"ฉัน","ich","chan","Pronomen","Basics,A1","1","ฉันชื่อมาเรีย","Ich heiße Maria."
"คุณ","du/Sie","khun","Pronomen","Basics,A1","1","คุณชื่ออะไร","Wie heißt du?"
"เขา","er/sie (3.P)","khao","Pronomen","Basics,A1","1","เขาไปโรงเรียน","Er/Sie geht zur Schule."
"เรา","wir / ich (umgangssp.)","rao","Pronomen","Basics,A1","1","เราจะไปเที่ยวด้วยกัน","Wir fahren zusammen in den Urlaub."
"พวกเรา","wir","phuak-rao","Pronomen","Basics,A2","1","พวกเราอยู่ที่นี่","Wir sind hier."
"ทุกคน","alle","thuk-khon","Pronomen","Basics,A2","1","ทุกคนมาถึงแล้ว","Alle sind angekommen."
"ใคร","wer","khrai","Fragewort","Basics,A1","1","ใครมาอยู่ที่นี่","Wer ist hierher gekommen?"
"อะไร","was","a-rai","Fragewort","Basics,A1","1","นี่คืออะไร","Was ist das?"
"ที่ไหน","wo","thii-nai","Fragewort","Basics,A1","1","คุณอยู่ที่ไหน","Wo bist du?"
"เมื่อไหร่","wann","muea-rai","Fragewort","Basics,A1","1","คุณจะมาเมื่อไหร่","Wann kommst du?"
"ทำไม","warum","tham-mai","Fragewort","Basics,A1","1","ทำไมคุณมาสาย","Warum bist du spät?"
"ยังไง","wie (auf welche Weise)","yang-ngai","Fragewort","Basics,A2","1","จะไปยังไง","Wie soll ich hingehen?"
"เท่าไหร่","wie viel / wie teuer","thao-rai","Fragewort","Basics,A1","1","ของนี้เท่าไหร่","Wie viel kostet das?"
"ครับ","(höflich, männlich)","khrap","Partikel","Basics,A1","1","ครับ","(höflich, männlich)"
"ค่ะ","(höflich, weiblich)","kha","Partikel","Basics,A1","1","ค่ะ","(höflich, weiblich)"
"นะ","bitte/okay? (weich)","na","Partikel","Basics,A2","1","นะ","bitte/okay? (weich)"
"ไหม","Fragepartikel","mai","Partikel","Basics,A1","1","ไหม","Fragepartikel"
"แล้ว","schon/bereits","laeo","Partikel","Basics,A1","1","ฉันทำเสร็จแล้ว","Ich bin schon fertig."
"ยัง","noch","yang","Partikel","Basics,A1","1","เขายังไม่มาถึง","Er ist immer noch nicht da."
"กำลัง","gerade (Progressiv)","kamlang","Partikel","Basics,A2","1","ฉันกำลังเรียนภาษาไทย","Ich lerne gerade Thailändisch."
"เลย","überhaupt / sofort","loei","Partikel","Basics,A2","1","ทำเลย","Mach es sofort!"
"และ","und","lae","Konjunktion","Basics,A1","1","ฉันชอบกาแฟและชา","Ich mag Kaffee und Tee."
"หรือ","oder","rue","Konjunktion","Basics,A1","1","คุณต้องการกาแฟหรือน้ำชา","Möchtest du Kaffee oder Wasser?"
"แต่","aber","tae","Konjunktion","Basics,A1","1","เขาอยากไปแต่เขาไม่มีเวลา","Er möchte gehen, aber er hat keine Zeit."
"เพราะ","weil","phro","Konjunktion","Basics,A2","1","เธอยิ้มเพราะมีความสุข","Sie lächelt, weil sie glücklich ist."
"ถ้า","wenn/falls","thaa","Konjunktion","Basics,A2","1","ถ้าฝนตกเราจะอยู่บ้าน","Wenn es regnet, bleiben wir zu Hause."
"กับ","mit","kap","Präposition","Basics,A1","1","ฉันไปตลาดกับเพื่อน","Ich gehe mit einem Freund auf den Markt."
"โดย","durch/mit (Mittel)","doi","Präposition","Basics,A2","1","เราเดินทางโดยรถไฟ","Wir reisen mit dem Zug."
"ก่อน","vorher","gon","Adverb","Basics,A2","1","โปรดเช็คเอกสารก่อนส่ง","Bitte prüfe die Unterlagen, bevor du sie abschickst."
"หลัง","nachher","lang","Adverb","Basics,A2","1","หลังประชุมเราจะไปซื้อของ","Nachher gehen wir einkaufen." 
"เป็น","sein","pen","Verb","Basics,A1","1","ฉันเป็นครู","Ich bin Lehrerin/Lehrer."
"พูด","sprechen","phuut","Verb","Basics,A1","1","เขาพูดภาษาไทยและเยอรมัน","Er spricht Thai und Deutsch."
"บอก","sagen","bok","Verb","Basics,A1","1","แม่บอกให้ฉันกลับบ้านเร็ว","Mama sagt mir, ich soll früh nach Hause kommen."
"ถาม","fragen","thaam","Verb","Basics,A1","1","ฉันจะถามคุณพรุ่งนี้","Ich frage dich morgen."
"ตอบ","antworten","top","Verb","Basics,A1","1","เขาตอบอีเมลทันที","Er antwortet sofort auf die E-Mail."
"อ่าน","lesen","aan","Verb","Education,A1","1","ฉันอ่านหนังสือ","Ich lese ein Buch."
"เขียน","schreiben","khian","Verb","Education,A1","1","ฉันเขียนอีเมล","Ich schreibe eine E-Mail."
"รู้","wissen/kennen","ruu","Verb","Basics,A2","1","ฉันรู้อยู่แล้ว","Ich weiß es schon."
"เข้าใจ","verstehen","khao-jai","Verb","Basics,A2","1","ฉันเข้าใจมัน","Ich verstehe es."
"คิด","denken","khit","Verb","Basics,A2","1","ฉันคิดถึงบ้าน","Ich denke an Zuhause."
"ช่วย","helfen","chuay","Verb","Basics,A1","1","ช่วยฉันหน่อยได้ไหม","Kannst du mir bitte helfen?"
"รอ","warten","raw","Verb","Basics,A1","1","ฉันรอคุณอยู่ที่หน้าประตู","Ich warte auf dich vor der Tür."
"เริ่ม","beginnen","roem","Verb","Basics,A2","1","ฉันเริ่มงานใหม่วันนี้","Ich habe heute mit dem neuen Job angefangen."
"จบ","enden","chop","Verb","Basics,A2","1","ฉันจบงานแล้ว","Ich bin mit der Arbeit fertig."
"เปิด","öffnen/anmachen","poet","Verb","Basics,A1","1","กรุณาเปิดไฟ","Bitte mach das Licht an."
"ปิด","schließen/ausmachen","pit","Verb","Basics,A1","1","กรุณาปิดหน้าต่าง","Bitte mach das Fenster zu."
"เข้า","hineingehen","khao","Verb","Basics,A1","1","ฉันเข้าไปในบ้าน","Ich gehe ins Haus."
"ออก","hinausgehen","ok","Verb","Basics,A1","1","ฉันออกไปข้างนอก","Ich gehe raus."
"กลับ","zurückkehren","klap","Verb","Basics,A1","1","ฉันกลับบ้านตอนเย็น","Ich komme abends nach Hause."
"นอน","schlafen","non","Verb","Basics,A1","1","ฉันไปนอนแล้ว","Ich gehe jetzt schlafen."
"ตื่น","aufwachen","tuen","Verb","Basics,A1","1","ฉันตื่นเช้า","Ich wache früh auf."
"นั่ง","sitzen","nang","Verb","Basics,A1","1","โปรดนั่งตรงนี้","Bitte setz dich hier."
"ยืน","stehen","yuen","Verb","Basics,A1","1","เขายืนหน้าประตู","Er steht vor der Tür."
"วิ่ง","laufen","wing","Verb","Basics,A2","1","ฉันวิ่งทุกเช้า","Ich laufe jeden Morgen."
"จ่าย","bezahlen","jaai","Verb","Shopping,A2","1","ฉันจ่ายเงินที่แคชเชียร์","Ich bezahle an der Kasse."
"ใช้","benutzen","chai","Verb","Basics,A2","1","ฉันใช้โทรศัพท์ทุกวัน","Ich benutze mein Handy jeden Tag."
"ให้","geben","hai","Verb","Basics,A1","1","ฉันให้คุณของขวัญ","Ich gebe dir ein Geschenk."
"เอา","nehmen","ao","Verb","Basics,A1","1","ฉันเอาน้ำหนึ่งแก้ว","Ich nehme ein Glas Wasser."
"รับ","empfangen/annehmen","rap","Verb","Basics,A2","1","ฉันรับพัสดุ","Ich nehme das Paket an."
"ส่ง","senden/bringen","song","Verb","Basics,A2","1","ฉันส่งอีเมล","Ich schicke eine E-Mail."
"โทร","anrufen","tho","Verb","Phone,A1","1","ฉันโทรหาแม่","Ich rufe meine Mutter an."
"ถ่ายรูป","fotografieren","thaai-ruup","Verb","Leisure,A2","1","ฉันถ่ายรูปที่สวน","Ich mache ein Foto im Park."
"ขับรถ","Auto fahren","khap-rot","Verb","Travel,A2","2","ฉันขับรถไปทำงาน","Ich fahre mit dem Auto zur Arbeit."
"ออกกำลังกาย","Sport treiben","ok-kamlang-kai","Verb","Health,A2","2","ฉันออกกำลังกายทุกเช้า","Ich mache morgens Sport."
"ทำอาหาร","kochen","tham-aahaan","Verb","Food,A2","2","ฉันทำอาหารเย็น","Ich koche das Abendessen."
"ล้าง","waschen/spülen","laang","Verb","Home,A2","2","ฉันล้างจาน","Ich spüle das Geschirr."
"ทำความสะอาด","putzen","tham-khwaam-sa-aat","Verb","Home,A2","2","ฉันทำความสะอาดบ้าน","Ich putze die Wohnung."
"ซักผ้า","Wäsche waschen","sak-phaa","Verb","Home,A2","2","ฉันซักผ้าวันเสาร์","Ich wasche am Samstag die Wäsche."
"อาบน้ำ","duschen/baden","aap-nam","Verb","Home,A1","2","ฉันอาบน้ำตอนเช้า","Ich dusche morgens."
"แต่งตัว","sich anziehen","taeng-tua","Verb","Home,A2","2","ฉันแต่งตัวไปทำงาน","Ich ziehe mich für die Arbeit an."
"ไม่ดี","nicht gut","mai-dii","Adjektiv","Basics,A2","2","อากาศวันนี้ไม่ดี","Das Wetter ist heute nicht gut."
"สวย","schön","suay","Adjektiv","Basics,A1","2","ดอกไม้สวยมาก","Die Blumen sind sehr schön."
"น่ารัก","süß/niedlich","naa-rak","Adjektiv","Basics,A2","2","ลูกแมวน่ารักมาก","Das Kätzchen ist sehr süß."
"ใหม่","neu","mai","Adjektiv","Basics,A1","2","นี่คือรถใหม่ของฉัน","Das Auto ist neu."
"เก่า","alt","gao","Adjektiv","Basics,A1","2","บ้านนี้เก่ามาก","Dieses Haus ist sehr alt."
"ถูก","billig","thuuk","Adjektiv","Shopping,A1","2","เสื้อนี้ถูกมาก","Dieses T-Shirt ist sehr billig."
"ง่าย","einfach","ngaai","Adjektiv","Basics,A2","2","โจทย์นี้ง่ายมาก","Diese Aufgabe ist sehr einfach."
"ยาก","schwierig","yaak","Adjektiv","Basics,A2","2","ภาษาไทยยากไหม","Ist Thai schwierig?"
"ว่าง","frei (Zeit)","waang","Adjektiv","Basics,A1","2","วันเสาร์ฉันว่าง","Am Samstag habe ich Zeit."
"ยุ่ง","beschäftigt","yung","Adjektiv","Work,A1","2","ตอนนี้ฉันยุ่งมาก","Ich bin jetzt sehr beschäftigt."
"สะอาด","sauber","sa-aat","Adjektiv","Home,A1","2","ห้องสะอาดมาก","Das Zimmer ist sehr sauber."
"สกปรก","schmutzig","so-kaprok","Adjektiv","Home,A2","2","รองเท้าสกปรก","Die Schuhe sind schmutzig."
"ร้อน","heiß","ron","Adjektiv","Basics,A1","2","วันนี้อากาศร้อนมาก","Heute ist es sehr heiß."
"หนาว","kalt (Wetter)","naao","Adjektiv","Weather,A2","2","ฤดูหนาวหนาวมาก","Im Winter ist es sehr kalt."
"เย็น","kalt/kühl","yen","Adjektiv","Basics,A1","2","น้ำเย็น","Das Wasser ist kalt."
"อุ่น","warm","un","Adjektiv","Basics,A2","2","ชาอุ่นๆ","Warmer Tee."
"หิว","hungrig","hiu","Adjektiv","Food,A1","2","ฉันหิวมาก","Ich habe großen Hunger."
"อิ่ม","satt","im","Adjektiv","Food,A1","2","ฉันอิ่มแล้ว","Ich bin satt."
"เผ็ด","scharf","phet","Adjektiv","Food,A1","2","อาหารนี้เผ็ดมาก","Dieses Essen ist sehr scharf."
"หวาน","süß","waan","Adjektiv","Food,A1","2","เค้กหวานเกินไป","Der Kuchen ist zu süß."
"เค็ม","salzig","khem","Adjektiv","Food,A1","2","ซุปเค็มเกินไป","Die Suppe ist zu salzig."
"เปรี้ยว","sauer","priao","Adjektiv","Food,A1","2","มะนาวเปรี้ยว","Die Limette ist sauer."
"ขม","bitter","khom","Adjektiv","Food,A2","2","กาแฟขม","Der Kaffee ist bitter."
"อร่อย","lecker","a-roi","Adjektiv","Food,A1","2","มันอร่อย","Es ist lecker."
"มาก","sehr/viel","maak","Adverb","Basics,A1","2","ฉันชอบมาก","Ich mag es sehr."
"น้อย","wenig","noi","Adverb","Basics,A1","2","มีคนน้อยมาก","Es gibt sehr wenige Leute."
"ตอนนี้","jetzt","ton-nii","Adverb","Basics,A1","2","ฉันอยู่บ้านตอนนี้","Ich bin jetzt zu Hause."
"เมื่อวาน","gestern","muea-waan","Adverb","Basics,A1","2","เมื่อวานฉันไปตลาด","Gestern bin ich zum Markt gegangen."
"บ่อย","oft","boi","Adverb","Basics,A2","2","ฉันออกกำลังกายบ่อย","Ich mache oft Sport."
"บางครั้ง","manchmal","baang-khrang","Adverb","Basics,A2","2","บางครั้งฉันทำอาหาร","Manchmal koche ich."
"เสมอ","immer","sa-moe","Adverb","Basics,A2","2","ฉันตื่นเช้าเสมอ","Ich wache immer früh auf."
"ศูนย์","Null","suun","Zahl","Basics,A1","2","ศูนย์","Null"
"หนึ่ง","eins","nueng","Zahl","Basics,A1","2","หนึ่ง","eins"
"สอง","zwei","song","Zahl","Basics,A1","2","สอง","zwei"
"สาม","drei","saam","Zahl","Basics,A1","2","สาม","drei"
"สี่","vier","sii","Zahl","Basics,A1","2","สี่","vier"
"ห้า","fünf","haa","Zahl","Basics,A1","2","ห้า","fünf"
"หก","sechs","hok","Zahl","Basics,A1","2","หก","sechs"
"เจ็ด","sieben","jet","Zahl","Basics,A1","2","เจ็ด","sieben"
"แปด","acht","paet","Zahl","Basics,A1","2","แปด","acht"
"เก้า","neun","gao","Zahl","Basics,A1","2","เก้า","neun"
"สิบ","zehn","sip","Zahl","Basics,A1","2","สิบ","zehn"
"ยี่สิบ","zwanzig","yii-sip","Zahl","Basics,A2","2","ยี่สิบ","zwanzig"
"ร้อย","hundert","roi","Zahl","Basics,A2","2","ร้อย","hundert"
"พัน","tausend","phan","Zahl","Basics,A2","2","พัน","tausend"
"สัปดาห์","Woche","sap-daa","Nomen","Time,A2","2","สัปดาห์หน้าฉันไปกรุงเทพ","Nächste Woche fahre ich nach Bangkok."
"เดือน","Monat","deuan","Nomen","Time,A1","2","เดือนนี้ฝนตกมาก","Diesen Monat regnet es viel."
"ปี","Jahr","pii","Nomen","Time,A1","2","ปีหน้าฉันไปเยอรมัน","Nächstes Jahr fahre ich nach Deutschland."
""วันจันทร์","Montag","wan-jan","Nomen","Time,A1","2","วันจันทร์ฉันมีนัด","Montags habe ich einen Termin."
""วันอังคาร","Dienstag","wan-ang-khaan","Nomen","Time,A1","2","วันอังคารฉันเรียนภาษาไทย","Dienstags lerne ich Thai."
""วันพุธ","Mittwoch","wan-phut","Nomen","Time,A1","2","วันพุธฉันทำงาน","Mittwochs arbeite ich."
""วันพฤหัสบดี","Donnerstag","wan-pha-rue-hat-sa-bodii","Nomen","Time,A2","2","วันพฤหัสบดีฉันว่าง","Donnerstags habe ich frei."
""วันศุกร์","Freitag","wan-suk","Nomen","Time,A1","2","วันศุกร์ฉันไปเบิ้นเพื่อน","Freitags treffe ich Freunde."
""วันเสาร์","Samstag","wan-sao","Nomen","Time,A1","2","วันเสาร์ฉันไปเบิ้นสินค้า","Samstags gehe ich einkaufen."
""วันอาทิตย์","Sonntag","wan-aa-thit","Nomen","Time,A1","2","วันอาทิตย์ฉันพักผ่อน","Sonntags ruhe ich mich aus."
""เช้า","Morgen (Tageszeit)","chao","Nomen","Time,A1","2","ตอนเช้านี้ฉันวิ่ง","Heute Morgen bin ich gelaufen."
""เที่ยง","Mittag","thiang","Nomen","Time,A1","2","ตอนเที่ยงฉันกินข้าว","Mittags esse ich Reis."
""บ่าย","Nachmittag","baai","Nomen","Time,A1","2","ตอนบ่ายนี้ฉันไปห้องสมุด","Heute Nachmittag gehe ich in die Bibliothek."
""กลางคืน","Nacht","klang-khuen","Nomen","Time,A1","2","กลางคืนฉันนอนหลับ","Nachts schlafe ich."
"นาที","Minute","naa-thii","Nomen","Time,A2","2","รอสิบนาที","Warte zehn Minuten."
"ชั่วโมง","Stunde","chua-mong","Nomen","Time,A2","2","ฉันเรียนสองชั่วโมง","Ich lerne zwei Stunden."
"ห้อง","Zimmer","hong","Nomen","Basics,A1","2","ห้องนี้ใหญ่มาก","Dieses Zimmer ist sehr groß."
"ห้องน้ำ","Toilette","hong-nam","Nomen","Basics,A1","2","ห้องน้ำอยู่ที่ไหน","Wo ist die Toilette?"
"ห้องครัว","Küche","hong-khrua","Nomen","Home,A2","2","แม่ทำอาหารในห้องครัว","Mama kocht in der Küche."
"มหาวิทยาลัย","Universität","ma-haa-wit-tha-yaa-lai","Nomen","Education,A2","2","ฉันเรียนที่มหาวิทยาลัย","Ich studiere an der Universität."
"โรงพยาบาล","Krankenhaus","rong-pha-yaa-baan","Nomen","Health,A2","2","เขาไปโรงพยาบาล","Er ist im Krankenhaus."
"ร้านขายยา","Apotheke","raan-khaai-yaa","Nomen","Health,A2","2","ฉันซื้อยาที่ร้านขายยา","Ich kaufe Medikamente in der Apotheke."
"ธนาคาร","Bank","tha-na-khaan","Nomen","Shopping,A2","2","ฉันต้องไปธนาคาร","Ich muss zur Bank."
"ตลาด","Markt","ta-laat","Nomen","Shopping,A1","2","ฉันไปตลาดทุกวัน","Ich gehe jeden Tag zum Markt."
"ร้าน","Laden/Shop","raan","Nomen","Shopping,A1","2","ร้านนี้เปิดเมื่อไหร่","Wann öffnet dieser Laden?"
"ร้านอาหาร","Restaurant","raan-aahaan","Nomen","Food,A1","2","เราไปร้านอาหารกันไหม","Gehen wir zusammen ins Restaurant?"
"โรงแรม","Hotel","rong-raem","Nomen","Travel,A1","2","ฉันพักที่โรงแรม","Ich übernachte im Hotel."
"สนามบิน","Flughafen","sa-naam-bin","Nomen","Travel,A2","2","ฉันไปสนามบิน","Ich fahre zum Flughafen."
"สถานี","Station","sa-thaa-nii","Nomen","Travel,A2","2","สถานีอยู่ไกลไหม","Wo ist der Bahnhof?"
"ถนน","Straße","tha-non","Nomen","Travel,A1","2","ถนนนี้ชื่ออะไร","Wie heißt diese Straße?"
"สวน","Park/Garten","suan","Nomen","Home,A2","2","เราไปเดินเล่นในสวน","Wir spazieren im Park."
"ทะเล","Meer","tha-lay","Nomen","Travel,A1","2","ฉันชอบทะเล","Ich mag das Meer."
"ภูเขา","Berg","phuu-khao","Nomen","Travel,A2","2","ภูเขาสูงมาก","Der Berg ist sehr hoch."
"ชายหาด","Strand","chaai-haat","Nomen","Travel,A2","2","เราไปชายหาดกัน","Lass uns zum Strand gehen."
"แท็กซี่","Taxi","taek-sii","Nomen","Travel,A1","2","ฉันเรียกแท็กซี่","Ich rufe ein Taxi."
"รถเมล์","Bus","rot-may","Nomen","Travel,A2","2","ฉันนั่งรถเมล์ทุกวัน","Ich fahre jeden Tag mit dem Bus."
"รถไฟ","Zug","rot-fai","Nomen","Travel,A1","2","รถไฟสะดวกกว่ารถเมล์","Der Zug ist bequemer als der Bus."
"เรือ","Boot","ruea","Nomen","Travel,A1","2","เราไปทางเกาะด้วยเรือ","Wir fahren mit dem Boot zur Insel."
"เครื่องบิน","Flugzeug","khrueang-bin","Nomen","Travel,A2","2","เครื่องบินขึ้นแล้ว","Das Flugzeug ist schon gestartet."
"ตั๋ว","Ticket","tua","Nomen","Travel,A2","2","ฉันซื้อตั๋วรถไฟ","Ich kaufe ein Zugticket."
"แผนที่","Karte (Plan)","phaen-thii","Nomen","Travel,A2","2","ฉันต้องการแผนที่","Ich brauche eine Karte."
"ผลไม้","Obst","phon-la-mai","Nomen","Food,A1","2","ฉันชอบกินผลไม้","Ich esse gern Obst."
"ผัก","Gemüse","phak","Nomen","Food,A1","2","ผักดีต่อสุขภาพ","Gemüse ist gesund."
"เนื้อ","Fleisch","nuea","Nomen","Food,A2","2","ฉันไม่กินเนื้อ","Ich esse kein Fleisch."
"ปลา","Fisch","plaa","Nomen","Food,A1","2","ปลาสดมาก","Der Fisch ist sehr frisch."
"ไก่","Huhn","gai","Nomen","Food,A1","2","ฉันสั่งไก่ทอด","Ich bestelle gebratenes Hähnchen."
"หมู","Schwein","muu","Nomen","Food,A1","2","ฉันไม่กินหมู","Ich esse kein Schweinefleisch."
"ไข่","Ei","khai","Nomen","Food,A1","3","ฉันกินไข่ตอนเช้า","Ich esse morgens ein Ei."
"นม","Milch","nom","Nomen","Food,A1","3","ฉันดื่มนมทุกวัน","Ich trinke jeden Tag Milch."
"กาแฟ","Kaffee","gaa-fae","Nomen","Food,A1","3","ฉันชอบกาแฟ","Ich mag Kaffee."
"ชา","Tee","chaa","Nomen","Food,A1","3","ฉันดื่มชาร้อน","Ich trinke heißen Tee."
"น้ำผลไม้","Saft","naam-phon-la-mai","Nomen","Food,A2","3","ฉันดื่มน้ำส้ม","Ich trinke Orangensaft."
"ขนม","Snack/Süßigkeit","kha-nom","Nomen","Food,A1","3","เด็กชอบขนม","Kinder lieben Süßigkeiten."
"ขนมปัง","Brot","kha-nom-pang","Nomen","Food,A2","3","ฉันกินขนมปังตอนเช้า","Ich esse morgens Brot."
"ซุป","Suppe","sup","Nomen","Food,A2","3","ซุปร้อนมาก","Die Suppe ist sehr warm."
"หัว","Kopf","hua","Nomen","Health,A2","3","หัวคนเจ็บ","Mein Kopf tut weh."
"ตา","Auge","taa","Nomen","Health,A1","3","ตาของฉันสีน้ำตา","Meine Augen sind blau."
"หู","Ohr","huu","Nomen","Health,A1","3","ชั้นรีหู","Mein Ohr tut weh."
"จมูก","Nase","ja-muuk","Nomen","Health,A2","3","จมูกเงิยงแตดถยิดเยบ","Seine Nase ist krumm."
"ปาก","Mund","paak","Nomen","Health,A1","3","ปากหนำสุกผิ้น","Sein Mund ist klein."
"ฟัน","Zahn","fan","Nomen","Health,A2","3","ฟันบรรธ","Meine Zähne sind weiß."
"มือ","Hand","mue","Nomen","Health,A1","3","มือขาวมีนิ้วม่าย","Meine Hände sind schmutzig."
"เท้า","Fuß","thao","Nomen","Health,A1","3","เท้าปาเสื้อไปหนูหิน","Meine Füße schmerzen sehr."
"หมอ","Arzt","mo","Nomen","Health,A1","3","หมอตรวจสอบแต่งฉัน","Der Arzt untersucht mich."
"ยา","Medizin","yaa","Nomen","Health,A1","3","ฉันกินยาทุกวัน","Ich nehme jeden Tag Medikamente."
"ปวด","schmerzen (haben)","puat","Verb","Health,A2","3","ฉันปวด","Ich schmerzen (haben)."
"เจ็บ","weh tun / verletzt sein","jep","Adjektiv","Health,A2","3","มันเจ็บ","Es ist weh tun / verletzt sein."
"ประตู","Tür","pra-tuu","Nomen","Home,A1","3","ประตูเปิด","Die Tür ist offen."
"หน้าต่าง","Fenster","naa-taang","Nomen","Home,A1","3","หน้าต่างปิด","Das Fenster ist zu."
"เตียง","Bett","tiang","Nomen","Home,A1","3","ฉันนอนในเตียง","Ich bin im Bett."
"โต๊ะ","Tisch","to","Nomen","Home,A1","3","อาหารอยู่บนโต๊ะ","Das Essen ist auf dem Tisch."
"เก้าอี้","Stuhl","gao-ii","Nomen","Home,A1","3","ฉันนั่งบนเก้าอี้","Ich sitze auf dem Stuhl."
""ตู้เย็น","Kühlschrank","tuu-yen","Nomen","Home,A2","3","ไข่อยู่ในตู้เย็น","Die Eier sind im Kühlschrank."
""ไฟ","Licht","fai","Nomen","Home,A1","3","โปรดเปิดไฟเหนือ","Bitte mach das Licht an."
""กุญแจ","Schlüssel","gun-jae","Nomen","Home,A2","3","ฉันลืมกุญแจ","Ich habe den Schlüssel vergessen."
""สบู่","Seife","sa-buu","Nomen","Home,A2","3","ถือสบู่จากห้องน้ำ","Hol Seife aus dem Bad."
"แชมพู","Shampoo","chaem-phuu","Nomen","Home,A2","3","แชมพูไหมอันไหลัป","Welches Shampoo ist neu?"
"ครอบครัว","Familie","khrop-khrua","Nomen","Family,A1","3","ครอบครัวของฉันใหญ่หลาย","Meine Familie ist groß."
"พ่อ","Vater","pho","Nomen","Family,A1","3","พ่อของฉันทำงานสงเครา","Mein Vater ist Ingenieur."
"แม่","Mutter","mae","Nomen","Family,A1","3","แม่ของฉันทุกเมื่อไปตลาด","Meine Mutter geht jeden Tag zum Markt."
"ลูก","Kind","luuk","Nomen","Family,A1","3","ลูกของเขาเขินเรียนมาก","Ihr Sohn studiert."
"พี่ชาย","älterer Bruder","phii-chaai","Nomen","Family,A2","3","พี่ชายของฉันเดินทางดาย","Mein älterer Bruder arbeitet als Pilot."
"น้องสาว","jäüngere Schwester","nong-saao","Nomen","Family,A2","3","น้องสาวของฉันกำลังเอา","Meine jüngere Schwester ist zehn Jahre alt."
